epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1372,1.42395,4.22247,1.55551,0.125,0.10417,0.12307,0.10236,1.08617,4.46709,1.34584,0.000130159,0.000130159,0.000130159
2,137.909,1.28306,3.58354,1.42796,0.9683,0.12419,0.34479,0.21815,1.3026,3.6644,1.48734,0.000254797,0.000254797,0.000254797
3,222.154,1.28635,3.13078,1.42574,0.55704,0.30165,0.41995,0.27782,1.26381,2.92593,1.4798,0.000370635,0.000370635,0.000370635
4,295.95,1.24437,2.78253,1.4241,0.72989,0.30865,0.47972,0.31799,1.20976,2.50677,1.45087,0.0003604,0.0003604,0.0003604
5,370.214,1.25568,2.50605,1.43729,0.53953,0.46427,0.56262,0.40263,1.13599,2.15135,1.38586,0.0003472,0.0003472,0.0003472
6,449.158,1.20852,2.23879,1.39633,0.48801,0.62213,0.71583,0.51025,1.11481,2.19817,1.39871,0.000334,0.000334,0.000334
7,525.135,1.17826,2.05376,1.33872,0.63324,0.77842,0.77418,0.54275,1.1206,1.68211,1.3732,0.0003208,0.0003208,0.0003208
8,598.148,1.16787,1.92593,1.32478,0.72135,0.72784,0.84164,0.56424,1.1572,2.01618,1.42181,0.0003076,0.0003076,0.0003076
9,686.881,1.16667,1.84248,1.30729,0.8271,0.74431,0.86125,0.63555,1.10551,1.57039,1.3427,0.0002944,0.0002944,0.0002944
10,770.133,1.1417,1.79226,1.32958,0.90378,0.72233,0.90355,0.64601,1.11576,1.56763,1.3409,0.0002812,0.0002812,0.0002812
11,857.233,1.16943,1.70387,1.32805,0.93173,0.7396,0.84262,0.59897,1.13228,1.51501,1.36471,0.000268,0.000268,0.000268
12,935.525,1.14279,1.63545,1.30887,0.79732,0.81884,0.89469,0.634,1.13233,1.44889,1.36818,0.0002548,0.0002548,0.0002548
13,1007.19,1.10439,1.64102,1.28439,0.91754,0.76087,0.91403,0.66186,1.06384,1.37555,1.31795,0.0002416,0.0002416,0.0002416
14,1078.02,1.07201,1.5367,1.25212,0.92586,0.79525,0.93119,0.66509,1.10771,1.38052,1.31607,0.0002284,0.0002284,0.0002284
15,1148.89,1.07487,1.51755,1.27514,0.81916,0.86873,0.92352,0.65818,1.13096,1.44484,1.35473,0.0002152,0.0002152,0.0002152
16,1219.44,1.0301,1.50038,1.24178,0.85549,0.86512,0.92228,0.66832,1.14221,1.32649,1.38134,0.000202,0.000202,0.000202
17,1290.45,1.04315,1.34257,1.21464,0.87039,0.85924,0.92057,0.67482,1.15105,1.25559,1.35912,0.0001888,0.0001888,0.0001888
18,1361.4,1.01553,1.33897,1.22909,0.87789,0.84203,0.92455,0.67481,1.14823,1.23136,1.34002,0.0001756,0.0001756,0.0001756
19,1432.14,1.02218,1.34059,1.22268,0.90458,0.84174,0.93509,0.67595,1.11921,1.26051,1.34242,0.0001624,0.0001624,0.0001624
20,1504.03,1.01538,1.35543,1.21205,0.94784,0.84047,0.91934,0.67954,1.08836,1.24766,1.32136,0.0001492,0.0001492,0.0001492
21,1574.08,0.9965,1.5804,1.26058,0.91365,0.85204,0.96553,0.66534,1.16234,1.30577,1.38682,0.000136,0.000136,0.000136
22,1643.94,0.9761,1.55142,1.25189,0.93369,0.84355,0.9681,0.70521,1.08506,1.2461,1.3496,0.0001228,0.0001228,0.0001228
23,1713.95,0.94231,1.4665,1.25308,0.94302,0.8616,0.97455,0.69331,1.09364,1.20617,1.33194,0.0001096,0.0001096,0.0001096
24,1783.94,0.9102,1.41441,1.18501,0.92499,0.85921,0.93333,0.69285,1.08905,1.17263,1.33388,9.64e-05,9.64e-05,9.64e-05
25,1854.58,0.90571,1.3801,1.19663,0.90764,0.8335,0.91911,0.66893,1.08992,1.17299,1.33014,8.32e-05,8.32e-05,8.32e-05
26,1925.37,0.89224,1.35928,1.19718,0.93074,0.84893,0.92616,0.68048,1.09304,1.16884,1.32633,7e-05,7e-05,7e-05
27,1995.12,0.88817,1.35565,1.18089,0.92013,0.8759,0.92595,0.68572,1.07596,1.16178,1.30748,5.68e-05,5.68e-05,5.68e-05
28,2065.01,0.87222,1.33646,1.17579,0.93233,0.82748,0.91596,0.67598,1.07428,1.15646,1.31063,4.36e-05,4.36e-05,4.36e-05
29,2135.08,0.84544,1.28039,1.1593,0.95037,0.85109,0.92681,0.68858,1.08112,1.13955,1.31673,3.04e-05,3.04e-05,3.04e-05
30,2205.12,0.86855,1.25917,1.16158,0.95194,0.8532,0.93549,0.68673,1.09007,1.13423,1.32847,1.72e-05,1.72e-05,1.72e-05
